schema_id,task_name,evidence_role,evidence_reasons,schema_score,schema_reported_score,schema_rank_for_task,schema_delta_vs_r0_post_best_pp,schema_trajectory_quality,primary_assigned_category,task_best_schema,task_best_score
artifact-generation,exceltable-in-ppt,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,artifact-generation,artifact-generation,100.0
artifact-generation,earthquake-plate-calculation,primary_assignment,primary;near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,artifact-generation,artifact-generation,60.0
artifact-generation,earthquake-phase-association,stable_gain_support,high_score;stable_gain,80.0,100.0,2,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,100.0
analytic-pipeline,dapt-intrusion-detection,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,analytic-pipeline,analytic-pipeline,100.0
analytic-pipeline,earthquake-phase-association,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,analytic-pipeline,analytic-pipeline,100.0
analytic-pipeline,court-form-filling,primary_assignment,primary;near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,60.0
engineering-composition,adaptive-cruise-control,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,engineering-composition,engineering-composition,100.0
engineering-composition,energy-ac-optimal-power-flow,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,engineering-composition,engineering-composition,100.0
engineering-composition,data-to-d3,stable_gain_support,high_score;stable_gain,80.0,100.0,2,100.0,stable_non_decreasing_gain,orchestration-delegation,orchestration-delegation,100.0
retrieval-heavy-synthesis,energy-market-pricing,primary_assignment,primary;near_best,72.5,100.0,1,100.0,stable_no_loss_gain,retrieval-heavy-synthesis,retrieval-heavy-synthesis,72.5
retrieval-heavy-synthesis,financial-modeling-qa,primary_assignment,primary;near_best;stable_gain,60.0,100.0,1,100.0,stable_non_decreasing_gain,retrieval-heavy-synthesis,retrieval-heavy-synthesis,60.0
retrieval-heavy-synthesis,earthquake-phase-association,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,100.0
retrieval-heavy-synthesis,energy-ac-optimal-power-flow,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,engineering-composition,engineering-composition,100.0
environment-control,econ-detrending-correlation,primary_assignment,primary;near_best;high_score;stable_gain,80.0,100.0,1,100.0,stable_non_decreasing_gain,environment-control,environment-control,80.0
environment-control,find-topk-similiar-chemicals,primary_assignment,primary;near_best,31.25,100.0,1,100.0,partial_gain_then_regression,environment-control,environment-control,31.25
environment-control,energy-market-pricing,stable_gain_support,stable_gain,60.0,100.0,2,100.0,stable_non_decreasing_gain,retrieval-heavy-synthesis,retrieval-heavy-synthesis,72.5
methodology-guardrail,exoplanet-detection-period,primary_assignment,primary;near_best;high_score;stable_gain,80.0,100.0,1,100.0,stable_non_decreasing_gain,methodology-guardrail,methodology-guardrail,80.0
methodology-guardrail,dapt-intrusion-detection,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,analytic-pipeline,analytic-pipeline,100.0
methodology-guardrail,data-to-d3,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,orchestration-delegation,orchestration-delegation,100.0
methodology-guardrail,energy-ac-optimal-power-flow,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,engineering-composition,engineering-composition,100.0
orchestration-delegation,data-to-d3,primary_assignment,primary;near_best;high_score;stable_gain;ideal_zero_to_full,100.0,100.0,1,100.0,ideal_zero_to_full_stable,orchestration-delegation,orchestration-delegation,100.0
orchestration-delegation,civ6-adjacency-optimizer,primary_assignment,primary;near_best,39.9167,60.0,1,60.0,partial_gain_then_regression,orchestration-delegation,orchestration-delegation,39.9167
orchestration-delegation,econ-detrending-correlation,stable_gain_support,stable_gain,60.0,100.0,3,100.0,stable_non_decreasing_gain,environment-control,environment-control,80.0
