set,n,mean_prev_score,mean_cur_score,mean_delta_score,improved_score_count,worse_score_count,same_score_count,mean_prev_reported_score,mean_cur_reported_score,mean_delta_reported_score,reported_100_before,reported_100_after,reported_100_to_0,positive_score_to_zero,mean_prev_trajectory_signal,mean_cur_trajectory_signal,mean_delta_trajectory_signal,mean_prev_growth_component,mean_cur_growth_component,mean_delta_growth_component,mean_delta_improved_rounds,stable_or_ideal_before,stable_or_ideal_after,task_name
azure-bgp-oscillation-route-leak,7,21.61,0.0,-21.61,0,3,4,42.86,0.0,-42.86,3,0,3,3,35.0,0.0,-35.0,71.43,50.0,-21.43,-0.43,2,0,azure-bgp-oscillation-route-leak
exceltable-in-ppt,7,42.86,23.21,-19.64,1,3,3,85.71,42.86,-42.86,6,3,3,1,42.86,27.14,-15.71,71.43,71.43,0.0,-0.57,3,1,exceltable-in-ppt
civ6-adjacency-optimizer,7,26.64,7.74,-18.9,1,5,1,54.29,60.71,6.43,0,0,0,4,45.71,10.0,-35.71,72.14,58.57,-13.57,-0.57,2,0,civ6-adjacency-optimizer
court-form-filling,7,43.21,24.82,-18.39,1,4,2,71.43,57.14,-14.29,5,4,2,2,55.71,33.57,-22.14,85.71,78.57,-7.14,-0.43,3,1,court-form-filling
earthquake-phase-association,7,53.21,41.61,-11.61,2,3,2,100.0,100.0,0.0,7,7,0,2,52.86,49.29,-3.57,78.57,78.57,0.0,-0.43,3,3,earthquake-phase-association
exoplanet-detection-period,7,21.61,11.43,-10.18,1,3,3,42.86,14.29,-28.57,3,1,3,3,35.0,14.29,-20.71,71.43,57.14,-14.29,-0.14,2,1,exoplanet-detection-period
find-topk-similiar-chemicals,7,13.39,4.46,-8.93,1,3,3,42.86,14.29,-28.57,3,1,3,3,19.29,6.43,-12.86,71.43,57.14,-14.29,-0.29,0,0,find-topk-similiar-chemicals
earthquake-plate-calculation,7,18.75,13.04,-5.71,2,1,4,28.57,28.57,0.0,2,2,1,1,20.71,20.71,0.0,64.29,64.29,0.0,-0.29,1,1,earthquake-plate-calculation
financial-modeling-qa,7,18.75,17.5,-1.25,2,2,3,28.57,42.86,14.29,2,3,1,1,20.71,27.14,6.43,64.29,71.43,7.14,-0.14,1,1,financial-modeling-qa
3d-scan-calc,7,0.0,0.0,0.0,0,0,7,100.0,100.0,0.0,7,7,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0,0,3d-scan-calc
citation-check,7,0.0,0.0,0.0,0,0,7,100.0,100.0,0.0,7,7,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0,0,citation-check
fix-build-agentops,7,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0,0,fix-build-agentops
fix-build-google-auto,7,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0,0,fix-build-google-auto
fix-druid-loophole-cve,7,0.0,0.0,0.0,0,0,7,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0,0,fix-druid-loophole-cve
energy-market-pricing,7,22.86,23.39,0.54,1,2,4,42.86,42.86,0.0,3,3,1,0,28.57,30.71,2.14,64.29,71.43,7.14,0.0,2,1,energy-market-pricing
dapt-intrusion-detection,7,28.57,33.21,4.64,1,2,4,85.71,42.86,-42.86,6,3,4,0,28.57,38.57,10.0,64.29,71.43,7.14,0.0,2,2,dapt-intrusion-detection
adaptive-cruise-control,7,8.93,18.75,9.82,1,1,5,28.57,28.57,0.0,2,2,1,1,12.86,20.71,7.86,64.29,64.29,0.0,0.29,0,1,adaptive-cruise-control
energy-ac-optimal-power-flow,7,14.29,41.79,27.5,4,1,2,100.0,57.14,-42.86,7,4,3,1,14.29,52.86,38.57,57.14,78.57,21.43,0.57,1,3,energy-ac-optimal-power-flow
econ-detrending-correlation,7,14.29,46.61,32.32,5,1,1,100.0,85.71,-14.29,7,6,1,0,14.29,57.86,43.57,57.14,92.86,35.71,0.86,1,2,econ-detrending-correlation
data-to-d3,7,4.46,53.39,48.93,6,0,1,28.57,85.71,57.14,2,6,0,0,6.43,62.14,55.71,57.14,92.86,35.71,1.43,0,3,data-to-d3
