pair_id,task_name,schema_id,previous_score,current_score,score_delta_pp,previous_reported_score,current_reported_score,reported_score_delta_pp,previous_trajectory_signal_score,current_trajectory_signal_score,trajectory_signal_delta_pp,previous_roles,current_evidence_class,current_failure_type,current_failure_summary
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,[],measured,,
civ6-adjacency-optimizer__orchestration-delegation,civ6-adjacency-optimizer,orchestration-delegation,0.0,39.9167,39.9167,60.0,60.0,0.0,0.0,45.0,45.0,[],measured,,
court-form-filling__engineering-composition,court-form-filling,engineering-composition,0.0,51.25,51.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
dapt-intrusion-detection__analytic-pipeline,dapt-intrusion-detection,analytic-pipeline,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,[],measured,,
data-to-d3__artifact-generation,data-to-d3,artifact-generation,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
data-to-d3__engineering-composition,data-to-d3,engineering-composition,0.0,80.0,80.0,0.0,100.0,100.0,0.0,100.0,100.0,[],measured,,
data-to-d3__environment-control,data-to-d3,environment-control,0.0,51.25,51.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
data-to-d3__methodology-guardrail,data-to-d3,methodology-guardrail,31.25,60.0,28.75,100.0,100.0,0.0,45.0,100.0,55.0,"['previous_multi_assignment', 'previous_primary_assignment', 'previous_schema_training_assignment']",measured,,
data-to-d3__orchestration-delegation,data-to-d3,orchestration-delegation,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
data-to-d3__retrieval-heavy-synthesis,data-to-d3,retrieval-heavy-synthesis,0.0,51.25,51.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
earthquake-phase-association__artifact-generation,earthquake-phase-association,artifact-generation,0.0,80.0,80.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
earthquake-phase-association__methodology-guardrail,earthquake-phase-association,methodology-guardrail,0.0,51.25,51.25,100.0,100.0,0.0,0.0,45.0,45.0,[],measured,,
earthquake-phase-association__retrieval-heavy-synthesis,earthquake-phase-association,retrieval-heavy-synthesis,72.5,60.0,-12.5,100.0,100.0,0.0,70.0,100.0,30.0,[],measured,,
earthquake-plate-calculation__artifact-generation,earthquake-plate-calculation,artifact-generation,31.25,60.0,28.75,100.0,100.0,0.0,45.0,100.0,55.0,[],measured,,
earthquake-plate-calculation__methodology-guardrail,earthquake-plate-calculation,methodology-guardrail,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
econ-detrending-correlation__artifact-generation,econ-detrending-correlation,artifact-generation,0.0,31.25,31.25,100.0,100.0,0.0,0.0,45.0,45.0,[],measured,,
econ-detrending-correlation__engineering-composition,econ-detrending-correlation,engineering-composition,0.0,72.5,72.5,100.0,100.0,0.0,0.0,70.0,70.0,[],measured,,
econ-detrending-correlation__environment-control,econ-detrending-correlation,environment-control,0.0,80.0,80.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
econ-detrending-correlation__methodology-guardrail,econ-detrending-correlation,methodology-guardrail,0.0,31.25,31.25,100.0,100.0,0.0,0.0,45.0,45.0,[],measured,,
econ-detrending-correlation__retrieval-heavy-synthesis,econ-detrending-correlation,retrieval-heavy-synthesis,0.0,51.25,51.25,100.0,100.0,0.0,0.0,45.0,45.0,[],measured,,
energy-ac-optimal-power-flow__analytic-pipeline,energy-ac-optimal-power-flow,analytic-pipeline,0.0,72.5,72.5,100.0,100.0,0.0,0.0,70.0,70.0,[],measured,,
energy-ac-optimal-power-flow__engineering-composition,energy-ac-optimal-power-flow,engineering-composition,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
energy-ac-optimal-power-flow__methodology-guardrail,energy-ac-optimal-power-flow,methodology-guardrail,0.0,60.0,60.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
energy-ac-optimal-power-flow__retrieval-heavy-synthesis,energy-ac-optimal-power-flow,retrieval-heavy-synthesis,0.0,60.0,60.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
energy-market-pricing__engineering-composition,energy-market-pricing,engineering-composition,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
exceltable-in-ppt__artifact-generation,exceltable-in-ppt,artifact-generation,0.0,100.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,[],measured,,
exoplanet-detection-period__methodology-guardrail,exoplanet-detection-period,methodology-guardrail,0.0,80.0,80.0,0.0,100.0,100.0,0.0,100.0,100.0,[],measured,,
financial-modeling-qa__artifact-generation,financial-modeling-qa,artifact-generation,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
financial-modeling-qa__retrieval-heavy-synthesis,financial-modeling-qa,retrieval-heavy-synthesis,0.0,60.0,60.0,0.0,100.0,100.0,0.0,100.0,100.0,[],measured,,
find-topk-similiar-chemicals__environment-control,find-topk-similiar-chemicals,environment-control,0.0,31.25,31.25,0.0,100.0,100.0,0.0,45.0,45.0,[],measured,,
