pair_id,task_name,schema_id,source_run_label,launcher_status,run_status,selected_round,selected_score_pct,selected_classification,hard_quota_rounds,selected_round_signal_level,hard_terms
adaptive-cruise-control__artifact-generation,adaptive-cruise-control,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota;rate_limit_stop
adaptive-cruise-control__analytic-pipeline,adaptive-cruise-control,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota;rate_limit_stop
adaptive-cruise-control__engineering-composition,adaptive-cruise-control,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,soft,http_429;numeric_429;provider_quota;quota_blocked
adaptive-cruise-control__retrieval-heavy-synthesis,adaptive-cruise-control,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
adaptive-cruise-control__environment-control,adaptive-cruise-control,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
adaptive-cruise-control__methodology-guardrail,adaptive-cruise-control,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
adaptive-cruise-control__orchestration-delegation,adaptive-cruise-control,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
data-to-d3__artifact-generation,data-to-d3,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
data-to-d3__analytic-pipeline,data-to-d3,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
data-to-d3__engineering-composition,data-to-d3,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R3,100.0,clean_success,R0;R1;R2,none,http_429;numeric_429;provider_quota
data-to-d3__retrieval-heavy-synthesis,data-to-d3,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R2,100.0,clean_success,R0,none,http_429;numeric_429;provider_quota
data-to-d3__environment-control,data-to-d3,environment-control,run-first20x7-rerun-failed5-2026-04-25-v2,succeeded,completed_with_quota_issues,R1,100.0,clean_success,R2,none,http_429;numeric_429;provider_quota
earthquake-phase-association__artifact-generation,earthquake-phase-association,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,100.0,clean_success,R2,none,http_429;numeric_429;provider_quota
earthquake-phase-association__analytic-pipeline,earthquake-phase-association,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;numeric_429;provider_quota
earthquake-phase-association__engineering-composition,earthquake-phase-association,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R2,none,http_429;numeric_429;provider_quota
earthquake-phase-association__retrieval-heavy-synthesis,earthquake-phase-association,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
earthquake-phase-association__environment-control,earthquake-phase-association,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1,hard,http_429;numeric_429;provider_quota;quota_blocked
earthquake-phase-association__methodology-guardrail,earthquake-phase-association,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
earthquake-phase-association__orchestration-delegation,earthquake-phase-association,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
energy-ac-optimal-power-flow__artifact-generation,energy-ac-optimal-power-flow,artifact-generation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R1;R2,none,http_429;infra_quota;numeric_429;provider_quota
energy-ac-optimal-power-flow__analytic-pipeline,energy-ac-optimal-power-flow,analytic-pipeline,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;infra_quota;numeric_429;provider_quota
energy-ac-optimal-power-flow__engineering-composition,energy-ac-optimal-power-flow,engineering-composition,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
energy-ac-optimal-power-flow__retrieval-heavy-synthesis,energy-ac-optimal-power-flow,retrieval-heavy-synthesis,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R2,hard,http_429;numeric_429;provider_quota
energy-ac-optimal-power-flow__environment-control,energy-ac-optimal-power-flow,environment-control,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota;quota_blocked
energy-ac-optimal-power-flow__methodology-guardrail,energy-ac-optimal-power-flow,methodology-guardrail,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;infra_quota;numeric_429;provider_quota;quota_blocked
energy-ac-optimal-power-flow__orchestration-delegation,energy-ac-optimal-power-flow,orchestration-delegation,run-first20x7-round0-2026-04-24,succeeded,completed_with_quota_issues,R0,0.0,scientific_failure,R0;R1;R2,hard,http_429;numeric_429;provider_quota
